label	n_nodes	current_grounding	current_status	route	target	swissprot_alt	go_alt	go_label	interpro_alt	curator_decision	note
F1F0-ATP synthase	1			CANDIDATE_InterPro	IPR048937		GO:1990524	INA complex	IPR048937		family-level candidate; verify it is not a subunit/domain
F1F0-ATPase proton pump	1			NO_CANDIDATE							no automated candidate; needs manual curation
F1Fo ATP synthase	1			REVIEW_GO_SUSPECT	GO:1990677		GO:1990677	mitochondrial inner membrane assembly complex			top-hit failed the exactness check — likely wrong
FNR oxygen-responsive regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
FNR regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
FNR-type oxygen-responsive regulation	1			NO_CANDIDATE							no automated candidate; needs manual curation
FacZ	1			NO_CANDIDATE							no automated candidate; needs manual curation
Fe-S cluster enzymes	1			CLASS_NODE_DO_NOT_GROUND			GO:0009375	ferredoxin hydrogenase complex			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
FeMo-cofactor (M-cluster)	1			NO_CANDIDATE							no automated candidate; needs manual curation
FlaB	1	InterPro:IPR001492		CURATED_INTERPRO	InterPro:IPR001492					APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
FlbB periplasmic ring	1			NO_CANDIDATE							no automated candidate; needs manual curation
FlgK/FlgL hook-filament junction	1			NO_CANDIDATE							no automated candidate; needs manual curation
FlgV	1			NO_CANDIDATE							no automated candidate; needs manual curation
FlhE	1			CANDIDATE_InterPro	IPR009420	UniProtKB:P76297			IPR009420		family-level candidate; verify it is not a subunit/domain
FliD filament cap	1			NO_CANDIDATE							no automated candidate; needs manual curation
FliF	1	InterPro:IPR000067		CURATED_INTERPRO	InterPro:IPR000067	UniProtKB:Q8FUS3			IPR000067	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
FliF (MS-ring protein)	1			NO_CANDIDATE							no automated candidate; needs manual curation
FliF (MS-ring)	1			NO_CANDIDATE							no automated candidate; needs manual curation
FliF MS-ring protein	1			NO_CANDIDATE							no automated candidate; needs manual curation
FliG rotor protein	1			NO_CANDIDATE							no automated candidate; needs manual curation
FliH-FliI-FliJ ATPase complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
FliM/FliN C-ring partners	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsA	1	InterPro:IPR020823		CURATED_INTERPRO	InterPro:IPR020823	UniProtKB:A0A0H2ZPT5			IPR003494	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
FtsA and ZipA (proto-ring tethers)	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsEX complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsH protease	1	InterPro:IPR005936		CURATED_INTERPRO	InterPro:IPR005936	UniProtKB:P0ABC7				APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
FtsN	1			CANDIDATE_InterPro	IPR011930	UniProtKB:B8GX61			IPR011930		family-level candidate; verify it is not a subunit/domain
FtsW	1			CANDIDATE_InterPro	IPR001182	UniProtKB:P0ABG4			IPR001182		family-level candidate; verify it is not a subunit/domain
FtsW lipid II flippase	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsW-PBP2x complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsWI septal PG synthase	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsWI septal PG synthase complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsZ Z-ladder arrays	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsZ Z-ring assembly	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsZ abundance	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsZ filament properties	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsZ proto-ring (with FtsA/ZipA)	1			NO_CANDIDATE							no automated candidate; needs manual curation
FtsZ ring (divisome)	1			NO_CANDIDATE							no automated candidate; needs manual curation
FurC / PerR	1			NO_CANDIDATE							no automated candidate; needs manual curation
GlmS	1			CURATED_LABEL_ONLY					IPR006394	RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
Gms (GMGT synthase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
GroEL-GroES / HtpG chaperone	1			NO_CANDIDATE							no automated candidate; needs manual curation
GroEL/DnaK molecular chaperones	1			NO_CANDIDATE							no automated candidate; needs manual curation
GrsA/GrsB GDGT cyclization enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
GvpA	1			CANDIDATE_InterPro	IPR000638	UniProtKB:O33397			IPR000638		family-level candidate; verify it is not a subunit/domain
GvpC	1			CANDIDATE_InterPro	IPR002003	UniProtKB:Q8YUS9			IPR002003		family-level candidate; verify it is not a subunit/domain
GvpD	1			CANDIDATE_InterPro	IPR009788	UniProtKB:Q02229			IPR009788		family-level candidate; verify it is not a subunit/domain
H+-ATPase proton efflux pump	1			NO_CANDIDATE							no automated candidate; needs manual curation
HetN regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
HetR transcriptional regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
Hfq	1			CANDIDATE_InterPro	IPR005001	UniProtKB:P0A1R0			IPR005001		family-level candidate; verify it is not a subunit/domain
HmgA (homogentisate 1,2-dioxygenase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
HppD (4-hydroxyphenylpyruvate dioxygenase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
IdsA/CrtE (GGPP synthase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
K+ import systems	1			CLASS_NODE_DO_NOT_GROUND			UBERON:0001839	bony labyrinth			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
K+ uniport system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
K+ uptake system (Kdp/Kef)	1			NO_CANDIDATE							no automated candidate; needs manual curation
K+ uptake systems (Trk/Ktr/Kup/KimA)	1			NO_CANDIDATE							no automated candidate; needs manual curation
K+/H+ antiporters	1	GO:0015386		CURATED_GO	GO:0015386		GO:0015386	potassium:proton antiporter activity		APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
KdpFABC complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
KimA/Kup high-affinity K+ uptake transporters	1			NO_CANDIDATE							no automated candidate; needs manual curation
KpsMT ABC transporter	1			NO_CANDIDATE							no automated candidate; needs manual curation
LuxCDE fatty acid reductase complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
LuxG flavin reductase	1			NO_CANDIDATE							no automated candidate; needs manual curation
LuxI autoinducer synthase	1			NO_CANDIDATE							no automated candidate; needs manual curation
LuxR transcription factor	1			NO_CANDIDATE							no automated candidate; needs manual curation
LytR/LCP teichoic acid ligase	1			NO_CANDIDATE							no automated candidate; needs manual curation
MMC lyase	1			NO_CANDIDATE							no automated candidate; needs manual curation
MamB	1			CANDIDATE_InterPro	IPR053436	UniProtKB:W6KHH6			IPR053436		family-level candidate; verify it is not a subunit/domain
MamK	1			CANDIDATE_InterPro	IPR056546	UniProtKB:Q6NE59			IPR056546		family-level candidate; verify it is not a subunit/domain
MapZ	1			CANDIDATE_InterPro	IPR030858				IPR030858		family-level candidate; verify it is not a subunit/domain
MapZ/FtsZ division-positioning system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
MerB (organomercurial lyase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
MerR (Hg-responsive regulator)	1			NO_CANDIDATE							no automated candidate; needs manual curation
MmoX/MmoY/MmoZ (MMOH alpha/beta/gamma)	1			NO_CANDIDATE							no automated candidate; needs manual curation
MotA-MotB stator complex	1			REVIEW_GO_SUSPECT	GO:0120100		GO:0120100	bacterial-type flagellum motor			top-hit failed the exactness check — likely wrong
MreB cytoskeletal filaments	1			NO_CANDIDATE							no automated candidate; needs manual curation
MreB cytoskeletal guidance	1			NO_CANDIDATE							no automated candidate; needs manual curation
MreB filaments	1			NO_CANDIDATE							no automated candidate; needs manual curation
MreB-mediated elongation machinery	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
MreC-MreD balance	1			NO_CANDIDATE							no automated candidate; needs manual curation
MreC/MreD balance	1			NO_CANDIDATE							no automated candidate; needs manual curation
MreD	1			CANDIDATE_InterPro	IPR007227	UniProtKB:P0ABH6			IPR007227		family-level candidate; verify it is not a subunit/domain
MtrCAB outer-membrane complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
MxaFI methanol dehydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
NADH dehydrogenase (complex I)	1			MANUAL_REVIEW			GO:0030964	NADH dehydrogenase complex			excluded by curator override
Na+/H+ antiporter (Nha)	1			NO_CANDIDATE							no automated candidate; needs manual curation
Na+/H+ antiporter genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
Na+/solute symporters	1			REVIEW_GO_SUSPECT	GO:0043887		GO:0043887	melibiose:sodium symporter activity			top-hit failed the exactness check — likely wrong
NarGHI nitrate reductase	1			REVIEW_GO_SUSPECT	GO:0044799		GO:0044799	NarGHI complex			top-hit failed the exactness check — likely wrong
NarX-NarL two-component system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
NhaC-family Na+/H+ antiporter	1			NO_CANDIDATE							no automated candidate; needs manual curation
Ni,Fe-carbon monoxide dehydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
NifH (Fe-protein)	1			NO_CANDIDATE							no automated candidate; needs manual curation
NrfA cytochrome c nitrite reductase	1			NO_CANDIDATE							no automated candidate; needs manual curation
OpuA compatible-solute transporter	1			NO_CANDIDATE							no automated candidate; needs manual curation
OpuA-like compatible-solute importers	1			NO_CANDIDATE							no automated candidate; needs manual curation
OpuA/OpuC compatible-solute importers	1			NO_CANDIDATE							no automated candidate; needs manual curation
OpuA/OpuC compatible-solute transporters	1			NO_CANDIDATE							no automated candidate; needs manual curation
OxyR	1			CANDIDATE_InterPro	IPR002176	UniProtKB:A9CGX9			IPR002176		family-level candidate; verify it is not a subunit/domain
OxyR transcriptional regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
P-cluster	1			REVIEW_GO_SUSPECT	GO:0044573		GO:0044573	nitrogenase P cluster assembly			top-hit failed the exactness check — likely wrong
P-type proton-translocating ATPase	1			REVIEW_GO_SUSPECT	GO:1905273		GO:1905273	positive regulation of proton-transporting ATP synthase activity, rotational mechanism			top-hit failed the exactness check — likely wrong
PBP2 (elongasome transpeptidase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
PEP-dependent phosphotransferase system (mannitol PTS)	1			REVIEW_GO_SUSPECT	GO:0022872		GO:0022872	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity			top-hit failed the exactness check — likely wrong
PHA depolymerase (PhaZ)	1			NO_CANDIDATE							no automated candidate; needs manual curation
PHA synthase (PhaC)	1			NO_CANDIDATE							no automated candidate; needs manual curation
PQQ-dependent methanol dehydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
PatS peptide	1			REVIEW_GO_SUSPECT	GO:0002486		GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent			top-hit failed the exactness check — likely wrong
PcsB autolysin	1			NO_CANDIDATE							no automated candidate; needs manual curation
PcsB hydrolase system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
PerR	1			CURATED_LABEL_ONLY		UniProtKB:Q57083				RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
PhaR regulator	1			REVIEW_GO_SUSPECT	GO:1903745		GO:1903745	negative regulation of nematode pharyngeal pumping			top-hit failed the exactness check — likely wrong
PigC ligase	1			NO_CANDIDATE							no automated candidate; needs manual curation
PilQ secretin	1			NO_CANDIDATE							no automated candidate; needs manual curation
PmoA/PmoB/PmoC subunits	1			NO_CANDIDATE							no automated candidate; needs manual curation
QRDR mutation in DNA gyrase/topoisomerase IV	1			NO_CANDIDATE							no automated candidate; needs manual curation
RNA thermometer	1			NO_CANDIDATE							no automated candidate; needs manual curation
RNA thermometer 5′-UTR structure	1			NO_CANDIDATE							no automated candidate; needs manual curation
RNA thermometer hairpin	1			NO_CANDIDATE							no automated candidate; needs manual curation
ROS-scavenging enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
Rap phosphatases	1			NO_CANDIDATE							no automated candidate; needs manual curation
RcnA/YohM Co/Ni efflux protein	1			NO_CANDIDATE							no automated candidate; needs manual curation
RcoM	1			CANDIDATE_InterPro	IPR005166	UniProtKB:Q2RNI6			IPR005166		family-level candidate; verify it is not a subunit/domain
RecA	1			CANDIDATE_InterPro	IPR013765	UniProtKB:Q9F407	GO:1990942	mitotic metaphase chromosome recapture	IPR013765		family-level candidate; verify it is not a subunit/domain
RecA recombinase	1			REVIEW_GO_SUSPECT	GO:0009009		GO:0009009	site-specific recombinase activity			top-hit failed the exactness check — likely wrong
RecA* nucleoprotein filament	1			NO_CANDIDATE							no automated candidate; needs manual curation
RelA/SpoT homologue enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
Rnf complex	1			REVIEW_GO_SUSPECT	GO:0071797		GO:0071797	LUBAC complex			top-hit failed the exactness check — likely wrong
Rod complex (elongasome)	1			NO_CANDIDATE							no automated candidate; needs manual curation
Rod-complex accessory proteins MreC/MreD/RodZ	1			NO_CANDIDATE							no automated candidate; needs manual curation
RodA-PBP2 core synthase	1			NO_CANDIDATE							no automated candidate; needs manual curation
RodA-PBP2 elongasome complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
RodA-PBP2 synthase (Rod complex)	1			NO_CANDIDATE							no automated candidate; needs manual curation
RodA-PBP2b elongasome	1			NO_CANDIDATE							no automated candidate; needs manual curation
RodA/PBP3 elongasome	1			NO_CANDIDATE							no automated candidate; needs manual curation
RpoE envelope-stress sigma factor	1			NO_CANDIDATE							no automated candidate; needs manual curation
RpoS (sigma S)	1			NO_CANDIDATE							no automated candidate; needs manual curation
RpoS (sigma-S) general stress sigma factor	1			NO_CANDIDATE							no automated candidate; needs manual curation
RpoS sigma factor	1			NO_CANDIDATE							no automated candidate; needs manual curation
RpoS sigma factor (sigma-S)	1			NO_CANDIDATE							no automated candidate; needs manual curation
S-layer (glyco)protein subunits	1			NO_CANDIDATE							no automated candidate; needs manual curation
S-layer proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0045232	S-layer organization			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
SOR sulfur oxygenase reductase	1			NO_CANDIDATE							no automated candidate; needs manual curation
SafA	1			CANDIDATE_InterPro	IPR014248	UniProtKB:O32062	UBERON:0001363	great saphenous vein	IPR014248		family-level candidate; verify it is not a subunit/domain
SapB / chaplins / rodlins	1			NO_CANDIDATE							no automated candidate; needs manual curation
Scy	1	InterPro:IPR048240		CURATED_INTERPRO	InterPro:IPR048240		GO:0099050	vesicle scission	IPR004235	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
Shine-Dalgarno / AUG ribosome binding site	1			NO_CANDIDATE							no automated candidate; needs manual curation
SigB (sigma factor B)	1			NO_CANDIDATE							no automated candidate; needs manual curation
SoeABC sulfite dehydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
Sox multienzyme system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
SpmX	1			NO_CANDIDATE							no automated candidate; needs manual curation
Spo0A phosphorelay	1			NO_CANDIDATE							no automated candidate; needs manual curation
Spo0E-family phosphatases	1			NO_CANDIDATE							no automated candidate; needs manual curation
SpoIID	1			CANDIDATE_InterPro	IPR013486				IPR013486		family-level candidate; verify it is not a subunit/domain
SpoIIIE	1			CANDIDATE_InterPro	IPR050206	UniProtKB:Q9RNV1			IPR050206		family-level candidate; verify it is not a subunit/domain
SpoIIM	1	InterPro:IPR002798		CURATED_INTERPRO	InterPro:IPR002798				IPR002798	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
SpoIIP	1			NO_CANDIDATE							no automated candidate; needs manual curation
SpoIVA	1			CANDIDATE_InterPro	IPR046840	UniProtKB:Q81SW4			IPR046840		family-level candidate; verify it is not a subunit/domain
SpoVID	1			CURATED_LABEL_ONLY		UniProtKB:P37963			IPR048862	RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
SpoVM	1	InterPro:IPR012609		CURATED_INTERPRO	InterPro:IPR012609					APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
StpABCD complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
SusC-like TonB-dependent transporter	1			NO_CANDIDATE							no automated candidate; needs manual curation
T3SS effector proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
TeaABC TRAP transporter	1			NO_CANDIDATE							no automated candidate; needs manual curation
TetH tetrathionate hydrolase	1			NO_CANDIDATE							no automated candidate; needs manual curation
Tol-Pal system	1			CLASS_NODE_DO_NOT_GROUND		UniProtKB:P0A855			IPR014161		functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
TonB-dependent transporters	1			NO_CANDIDATE							no automated candidate; needs manual curation
Trk/Ktr potassium influx systems	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
TrkH potassium uptake system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
TsdA thiosulfate dehydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
VadR sRNA	1			NO_CANDIDATE							no automated candidate; needs manual curation
VxrAB two-component system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
WspR diguanylate cyclase	1			NO_CANDIDATE							no automated candidate; needs manual curation
Wza outer-membrane export protein	1			NO_CANDIDATE							no automated candidate; needs manual curation
Wzx flippase	1			NO_CANDIDATE							no automated candidate; needs manual curation
Wzy polymerase	1			NO_CANDIDATE							no automated candidate; needs manual curation
YbaS glutaminase	1			NO_CANDIDATE							no automated candidate; needs manual curation
ZntA P-type ATPase	1			NO_CANDIDATE							no automated candidate; needs manual curation
ZntR MerR-family regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
[FeFe] hydrogenase	1			CANDIDATE_InterPro	IPR027631	UniProtKB:Q9X0Z6			IPR027631		family-level candidate; verify it is not a subunit/domain
[FeFe]-hydrogenase	1			CANDIDATE_InterPro	IPR023860	UniProtKB:Q9X0Z6			IPR023860		family-level candidate; verify it is not a subunit/domain
absence of spo0A gene	1			NO_CANDIDATE							no automated candidate; needs manual curation
acetyl-CoA synthase (ACS)	1			REVIEW_GO_SUSPECT	GO:0043884		GO:0043884	CO-methylating acetyl-CoA synthase activity			top-hit failed the exactness check — likely wrong
acetyl-CoA/propionyl-CoA carboxylase	1			CURATED_LABEL_ONLY						RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
acidic halophilic proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
acyl-lipid desaturase (Des)	1			REVIEW_GO_SUSPECT	GO:0102865		GO:0102865	delta6-acyl-lipid desaturase activity			top-hit failed the exactness check — likely wrong
adhesins	1			REVIEW_GO_SUSPECT	GO:0071980		GO:0071980	cell surface adhesin-mediated gliding motility			top-hit failed the exactness check — likely wrong
aerobic metabolism genes	1			CLASS_NODE_DO_NOT_GROUND			GO:0019410	aerobic respiration, using carbon monoxide as electron donor			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
alcohol dehydrogenase	1			CANDIDATE_InterPro	IPR001670	UniProtKB:P39849	GO:0004022	alcohol dehydrogenase (NAD+) activity	IPR001670		family-level candidate; verify it is not a subunit/domain
alpha-glucosidase / glucoamylase	1			REVIEW_GO_SUSPECT	GO:0004339		GO:0004339	glucan 1,4-alpha-glucosidase activity			top-hit failed the exactness check — likely wrong
amylases / starch-active glycoside hydrolases	1			NO_CANDIDATE							no automated candidate; needs manual curation
anaerobic metabolism genes	1			CLASS_NODE_DO_NOT_GROUND			GO:0018886	anaerobic carbon tetrachloride metabolic process			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
antifreeze / ice-binding proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
antifreeze and ice-binding proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
antioxidant enzymes (Sod/Cat/peroxidases)	1			NO_CANDIDATE							no automated candidate; needs manual curation
apoplastic effectors	1			NO_CANDIDATE							no automated candidate; needs manual curation
archaeal molecular chaperonins	1			NO_CANDIDATE							no automated candidate; needs manual curation
archaeal proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:1990490	archaeal proton-transporting A-type ATPase complex			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
archaellum	1			CANDIDATE_InterPro	IPR040929	UniProtKB:Q4J9J9	GO:0097589	archaeal-type flagellum	IPR040929		family-level candidate; verify it is not a subunit/domain
ars operon	1			REVIEW_GO_SUSPECT	GO:0010239		GO:0010239	chloroplast mRNA processing			top-hit failed the exactness check — likely wrong
ars operon (ArsB pump)	1			NO_CANDIDATE							no automated candidate; needs manual curation
ars promoter	1			REVIEW_GO_SUSPECT	GO:0070888		GO:0070888	E-box binding			top-hit failed the exactness check — likely wrong
bacterial glycan-binding proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
bactofilin cytoskeleton	1			NO_CANDIDATE							no automated candidate; needs manual curation
bactofilin-M23 peptidase module	1			NO_CANDIDATE							no automated candidate; needs manual curation
betA/betB	1			REVIEW_GO_SUSPECT	GO:0008802		GO:0008802	betaine-aldehyde dehydrogenase (NAD+) activity			top-hit failed the exactness check — likely wrong
beta-barrel outer membrane proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:7770063	beta barrel protein insertion into mitochondrial outer membrane			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
beta-carotene hydroxylase (CrtZ)	1			NO_CANDIDATE							no automated candidate; needs manual curation
branched respiratory chain terminal oxidases	1			NO_CANDIDATE							no automated candidate; needs manual curation
c-type cytochrome	1			CANDIDATE_InterPro	IPR011885	UniProtKB:O33731	GO:1904960	positive regulation of cytochrome-c oxidase activity	IPR011885		family-level candidate; verify it is not a subunit/domain
carbohydrate acquisition gene abundance	1			NO_CANDIDATE							no automated candidate; needs manual curation
carbohydrate-active enzymes (CAZymes)	1			NO_CANDIDATE							no automated candidate; needs manual curation
carbon monoxide dehydrogenase	1			CANDIDATE_InterPro	IPR010419	UniProtKB:O28429	GO:0043885	anaerobic carbon-monoxide dehydrogenase activity	IPR010419		family-level candidate; verify it is not a subunit/domain
carbonic anhydrase and DIC transporters	1			NO_CANDIDATE							no automated candidate; needs manual curation
carotenoid biosynthesis genes (crt locus)	1			NO_CANDIDATE							no automated candidate; needs manual curation
carotenoid ketolase (CrtW)	1			NO_CANDIDATE							no automated candidate; needs manual curation
cation/proton antiporters	1			REVIEW_GO_SUSPECT	GO:0140968		GO:0140968	polyspecific organic cation:proton antiporter activity			top-hit failed the exactness check — likely wrong
cbb operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
cbb3-type terminal oxidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
cell appendages and adhesins	1			NO_CANDIDATE							no automated candidate; needs manual curation
cell wall hydrolases (autolysins)	1			NO_CANDIDATE							no automated candidate; needs manual curation
cell wall synthase	1			CANDIDATE_SwissProt	UniProtKB:A0A0H2ZMF9	UniProtKB:A0A0H2ZMF9	GO:0044567	primary cell wall cellulose synthase complex			reviewed entry; instance-level — pair with a taxon if used
cellobiohydrolase / exoglucanase	1			REVIEW_GO_SUSPECT	GO:0016162		GO:0016162	cellulose 1,4-beta-cellobiosidase activity			top-hit failed the exactness check — likely wrong
cellulase systems	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
cellulolytic / lignocellulose-catabolic genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
cellulolytic enzyme system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
chaperone proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0051087	protein-folding chaperone binding			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
chemoreceptor (MCP)	1			REVIEW_GO_SUSPECT	PR:000024025		PR:000024025	methyl-accepting chemotaxis protein IV			top-hit failed the exactness check — likely wrong
chemotaxis and motility genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
chitinases	1			CANDIDATE_SwissProt	UniProtKB:P29115	UniProtKB:P29115	GO:0004568	chitinase activity			reviewed entry; instance-level — pair with a taxon if used
citryl-CoA synthetase/lyase route	1			NO_CANDIDATE							no automated candidate; needs manual curation
class A penicillin-binding proteins (aPBPs)	1			NO_CANDIDATE							no automated candidate; needs manual curation
cnr (cnrCBAYXHT) determinant	1			NO_CANDIDATE							no automated candidate; needs manual curation
cognate DNA methyltransferase	1			NO_CANDIDATE							no automated candidate; needs manual curation
cognate signal receptor	1			NO_CANDIDATE							no automated candidate; needs manual curation
cohesin domain	1			CANDIDATE_InterPro	IPR002102		GO:1990311	type-I cohesin domain binding	IPR002102		family-level candidate; verify it is not a subunit/domain
cold shock proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
cold shock proteins / RNA chaperones	1			NO_CANDIDATE							no automated candidate; needs manual curation
cold-shock proteins (CspA-family)	1			NO_CANDIDATE							no automated candidate; needs manual curation
compartment-specific sigma factors	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
compatible-solute importer OpuA	1			NO_CANDIDATE							no automated candidate; needs manual curation
compatible-solute transporters (Opu/ProU)	1			NO_CANDIDATE							no automated candidate; needs manual curation
compatible-solute uptake systems	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
complement-regulator-binding surface proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0002430	complement receptor mediated signaling pathway			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
conductive pili and c-type cytochromes	1			NO_CANDIDATE							no automated candidate; needs manual curation
coo operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
copper efflux systems (cue/cus/pco/cop)	1			NO_CANDIDATE							no automated candidate; needs manual curation
corrinoid iron-sulfur protein (CoFeSP)	1			NO_CANDIDATE							no automated candidate; needs manual curation
cox operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
crRNA	1			CANDIDATE_InterPro	IPR010155	UniProtKB:Q746C2	GO:0099048	CRISPR-cas system	IPR010155		family-level candidate; verify it is not a subunit/domain
crRNA-Cas effector complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
crtE/crtB/crtI/crtY gene set	1			NO_CANDIDATE							no automated candidate; needs manual curation
crtI-crtB operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
crtOPQMN operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
