predicate_label	edge_count	status	blocked_by	example_files
catalyzes biosynthesis of	1	unmapped		data/traits/environment/nacl_range_mid2.yaml
rapidly balances	1	unmapped		data/traits/environment/nacl_range_mid2.yaml
provides early osmotic buffering for	1	unmapped		data/traits/environment/nacl_range_mid2.yaml
enables biosynthesis of	1	unmapped		data/traits/environment/nacl_range_mid2.yaml
enables tolerance of	1	unmapped		data/traits/environment/non_halophilic.yaml
requires counterion balancing by	1	unmapped		data/traits/environment/non_halophilic.yaml
promotes replacement by	1	unmapped		data/traits/environment/non_halophilic.yaml
suppresses influx of	1	unmapped		data/traits/environment/obligately_acidophilic.yaml
interrupts flux through	1	unmapped		data/traits/environment/obligately_aerobic.yaml
increases attraction to	1	unmapped		data/traits/environment/obligately_alkaphilic.yaml
poisons	1	unmapped		data/traits/environment/obligately_anaerobic.yaml
serves as	1	unmapped		data/traits/environment/oxygen_preference.yaml
increases reliance on	1	unmapped		data/traits/environment/ph_delta_mid3.yaml
contribute to	1	unmapped		data/traits/environment/ph_delta_mid3.yaml
imposes energetic cost on	1	unmapped		data/traits/environment/ph_delta_very_low.yaml
compensates for	1	unmapped		data/traits/environment/ph_range.yaml
extends	1	unmapped		data/traits/environment/ph_range.yaml
alkalinizes	1	unmapped		data/traits/environment/ph_range.yaml
shifts speciation toward	1	unmapped		data/traits/environment/ph_range_high.yaml
undergoes	1	unmapped		data/traits/environment/ph_range_low.yaml
permits maintenance of	1	unmapped		data/traits/environment/ph_range_mid2.yaml
acidifies	1	unmapped		data/traits/environment/ph_range_mid2.yaml
remains relatively constant across	1	unmapped		data/traits/environment/ph_range_mid2.yaml
couples	1	unmapped		data/traits/environment/ph_range_mid2.yaml
maintain	1	unmapped		data/traits/environment/ph_range_mid2.yaml
enables observation of	1	unmapped		data/traits/environment/ph_range_mid3.yaml
is evidence for	1	unmapped		data/traits/environment/ph_range_mid3.yaml
enables maintenance of	1	unmapped		data/traits/environment/ph_range_very_low.yaml
diffuse into	1	unmapped		data/traits/environment/ph_range_very_low.yaml
cause	1	unmapped		data/traits/environment/ph_range_very_low.yaml
causes increase in	1	unmapped		data/traits/environment/piezotolerant.yaml
induces transcription of	1	unmapped		data/traits/environment/piezotolerant.yaml
expands	1	unmapped		data/traits/environment/pressure_range.yaml
acts as antioxidant against	1	unmapped		data/traits/environment/radiotolerant.yaml
constrains	1	unmapped		data/traits/environment/salinity_phenotype_with_numerical_limits.yaml
exceeds tolerance of	1	unmapped		data/traits/environment/stenohaline.yaml
resists	1	unmapped		data/traits/environment/temperature_delta_high.yaml
positively regulates expression of	1	unmapped		data/traits/environment/temperature_delta_mid2.yaml
decreased by reduced unsaturated fatty acids	1	unmapped		data/traits/environment/temperature_delta_very_low.yaml
promotes accumulation of	1	unmapped		data/traits/environment/temperature_optimum_low.yaml
is sensed as input to	1	unmapped		data/traits/environment/temperature_optimum_mid1.yaml
remodels toward increased	1	unmapped		data/traits/environment/temperature_optimum_mid1.yaml
serve as precursors for	1	unmapped		data/traits/environment/temperature_optimum_mid1.yaml
subclass of	1	unmapped		data/traits/environment/temperature_optimum_mid2.yaml
rigidifies	1	unmapped		data/traits/environment/temperature_optimum_mid3.yaml
occludes	1	unmapped		data/traits/environment/temperature_optimum_mid4.yaml
controls abundance of	1	unmapped		data/traits/environment/temperature_optimum_mid4.yaml
permits translation of	1	unmapped		data/traits/environment/temperature_preference.yaml
precursor for	1	unmapped		data/traits/environment/temperature_range_mid1.yaml
exposes	1	unmapped		data/traits/environment/temperature_range_mid1.yaml
introduces double bonds into	1	unmapped		data/traits/environment/temperature_range_mid3.yaml
preserves	1	unmapped		data/traits/environment/temperature_range_very_low.yaml
quenches	1	unmapped		data/traits/environment/uv_radiation_tolerant.yaml
strengthens selection for	1	unmapped		data/traits/genomics/codon_usage_bias.yaml
integrates spacers via	1	unmapped		data/traits/genomics/crispr_cas_system.yaml
shifts toward	1	unmapped		data/traits/genomics/gc_low.yaml
positively correlated with	1	unmapped		data/traits/genomics/gc_mid1.yaml
strongly correlated with	1	unmapped		data/traits/genomics/gc_mid1.yaml
may increase	1	unmapped		data/traits/genomics/gc_mid1.yaml
negatively influences	1	unmapped		data/traits/genomics/gc_mid2.yaml
can distort measurement of	1	unmapped		data/traits/genomics/gc_mid2.yaml
increases dependence on	1	unmapped		data/traits/genomics/genome_streamlining.yaml
disseminates by	1	unmapped		data/traits/genomics/genomic_island.yaml
nicks/unwinds at	1	unmapped		data/traits/genomics/mobile_genetic_element.yaml
recruits substrate to	1	unmapped		data/traits/genomics/mobile_genetic_element.yaml
promotes retention of	1	unmapped		data/traits/genomics/plasmid_carriage.yaml
integrates into	1	unmapped		data/traits/genomics/prophage.yaml
increases capacity for	1	unmapped		data/traits/genomics/rrna_operon_copy_number.yaml
has participant	1	unmapped		data/traits/genomics/transposable_element.yaml
has core pathway	1	unmapped		data/traits/metabolism/anaerobic_oxidation_of_methane.yaml
catalyzes initial step of	1	unmapped		data/traits/metabolism/anaerobic_oxidation_of_methane.yaml
conserves	1	unmapped		data/traits/metabolism/anaerobic_respiration.yaml
exemplified by	1	unmapped		data/traits/metabolism/anaerobic_respiration.yaml
increases activity of	1	unmapped		data/traits/metabolism/anaerobic_respiration.yaml
catalyzes reduction of	1	unmapped		data/traits/metabolism/anaerobic_respiration.yaml
provides electron donor	1	unmapped		data/traits/metabolism/cable_bacteria_metabolism.yaml
provides electron acceptor	1	unmapped		data/traits/metabolism/cable_bacteria_metabolism.yaml
reduced during	1	unmapped		data/traits/metabolism/cable_bacteria_metabolism.yaml
component of	1	unmapped		data/traits/metabolism/cable_bacteria_metabolism.yaml
concentrates	1	unmapped		data/traits/metabolism/calvin_benson_bassham_cycle.yaml
can cause	1	unmapped		data/traits/metabolism/calvin_benson_bassham_cycle.yaml
accelerates interconversion of	1	unmapped		data/traits/metabolism/carbon_fixation.yaml
fixes CO2 to produce	1	unmapped		data/traits/metabolism/carbon_fixation.yaml
has backbone component	1	unmapped		data/traits/metabolism/cellulolysis.yaml
represses production of	1	unmapped		data/traits/metabolism/cellulolysis.yaml
oxidatively cleaves	1	unmapped		data/traits/metabolism/chitinolysis.yaml
part_of	1	unmapped		data/traits/metabolism/denitrification.yaml
is converted via beta-oxidation to	1	unmapped		data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml
catalyzes oxidation of	1	unmapped		data/traits/metabolism/disproportionation.yaml
reduced faster than	1	unmapped		data/traits/metabolism/dissimilatory_iron_reduction.yaml
is oxidized coupled to	1	unmapped		data/traits/metabolism/dissimilatory_manganese_reduction.yaml
is coupled to	1	unmapped		data/traits/metabolism/dissimilatory_manganese_reduction.yaml
facilitates electron transfer to	1	unmapped		data/traits/metabolism/dissimilatory_metal_reduction.yaml
serves as respiratory substrate for	1	unmapped		data/traits/metabolism/dissimilatory_metal_reduction.yaml
provides condition for	1	unmapped		data/traits/metabolism/dissimilatory_metal_reduction.yaml
permits	1	unmapped		data/traits/metabolism/dissimilatory_nitrate_reduction_to_ammonium.yaml
activated by	1	unmapped		data/traits/metabolism/dissimilatory_sulfate_reduction.yaml
marker for	1	unmapped		data/traits/metabolism/dissimilatory_sulfate_reduction.yaml
transfers electrons from	1	unmapped		data/traits/metabolism/electron_transfer.yaml
mediates transfer between	1	unmapped		data/traits/metabolism/electron_transfer.yaml
performs	1	unmapped		data/traits/metabolism/electron_transfer.yaml
uses structure	1	unmapped		data/traits/metabolism/electron_transfer.yaml
uses protein	1	unmapped		data/traits/metabolism/electron_transfer.yaml
oxidation reduces	1	unmapped		data/traits/metabolism/fermentation.yaml
reoxidized by	1	unmapped		data/traits/metabolism/fermentation.yaml
conserves energy by	1	unmapped		data/traits/metabolism/fermentation.yaml
excludes	1	unmapped		data/traits/metabolism/fermentation.yaml
transfers electrons from reduced ferredoxin to	1	unmapped		data/traits/metabolism/fermentation.yaml
reduced by enzyme to	1	unmapped		data/traits/metabolism/homoacetogenesis.yaml
converted by enzyme to	1	unmapped		data/traits/metabolism/homoacetogenesis.yaml
converges with	1	unmapped		data/traits/metabolism/homoacetogenesis.yaml
is fermented via	1	unmapped		data/traits/metabolism/lactic_acid_fermentation.yaml
is converted by	1	unmapped		data/traits/metabolism/lactic_acid_fermentation.yaml
acts as oxidant for	1	unmapped		data/traits/metabolism/lignin_degradation.yaml
disproportionates to form	1	unmapped		data/traits/metabolism/manganese_oxidation.yaml
condenses into	1	unmapped		data/traits/metabolism/manganese_oxidation.yaml
feeds	1	unmapped		data/traits/metabolism/metabolism.yaml
reduced with electron donor	1	unmapped		data/traits/metabolism/methanogenesis.yaml
has prosthetic group	1	unmapped		data/traits/metabolism/methanogenesis.yaml
carries methyl group in	1	unmapped		data/traits/metabolism/methanogenesis.yaml
induces synthesis of	1	unmapped		data/traits/metabolism/mixed_acid_fermentation.yaml
uses pathway	1	unmapped		data/traits/metabolism/oxidative_phosphorylation.yaml
used in	1	unmapped		data/traits/metabolism/photosynthesis.yaml
supplies electrons to	1	unmapped		data/traits/metabolism/phototrophy.yaml
has major pathway	1	unmapped		data/traits/metabolism/propionic_acid_fermentation.yaml
cofactor for	1	unmapped		data/traits/metabolism/propionic_acid_fermentation.yaml
has byproduct	1	unmapped		data/traits/metabolism/propionic_acid_fermentation.yaml
controls expression of	1	unmapped		data/traits/metabolism/proteolysis.yaml
cleaved to produce	1	unmapped		data/traits/metabolism/proteorhodopsin_phototrophy.yaml
alternative to	1	unmapped		data/traits/metabolism/reductive_tca_cycle.yaml
uses electron flow from	1	unmapped		data/traits/metabolism/respiration.yaml
subtype of	1	unmapped		data/traits/metabolism/respiration.yaml
donates phosphoryl group to	1	unmapped		data/traits/metabolism/substrate_level_phosphorylation.yaml
substrate for	1	unmapped		data/traits/metabolism/substrate_level_phosphorylation.yaml
produces ATP via	1	unmapped		data/traits/metabolism/substrate_level_phosphorylation.yaml
allows ATP production via	1	unmapped		data/traits/metabolism/substrate_level_phosphorylation.yaml
reacts to form	1	unmapped		data/traits/metabolism/sulfur_oxidation.yaml
requires partner interaction	1	unmapped		data/traits/metabolism/syntrophy.yaml
bypasses	1	unmapped		data/traits/metabolism/syntrophy.yaml
forms intermediate	1	unmapped		data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
is reduced to	1	unmapped		data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
dehydrates	1	unmapped		data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
regenerates	1	unmapped		data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
is required by	1	unmapped		data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
mediates carboxylation in	1	unmapped		data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
transfers methyl to	1	unmapped		data/traits/metabolism/wood_ljungdahl_pathway.yaml
functions as C1 carrier in	1	unmapped		data/traits/metabolism/wood_ljungdahl_pathway.yaml
directly interacts with	1	unmapped		data/traits/morphology/amphitrichous.yaml
forms ring around	1	unmapped		data/traits/morphology/axially_filamented.yaml
causally upstream of, negative effect	1	unmapped		data/traits/morphology/bacillus_shaped.yaml
required cofactor for	1	unmapped		data/traits/morphology/black_pigmented.yaml
synthesizes precursor for	1	unmapped		data/traits/morphology/black_pigmented.yaml
marks	1	unmapped		data/traits/morphology/branched_shaped.yaml
auto-oxidizes to	1	unmapped		data/traits/morphology/brown_pigmented.yaml
flips	1	unmapped		data/traits/morphology/capsule.yaml
polymerizes	1	unmapped		data/traits/morphology/capsule.yaml
prevents loss of	1	unmapped		data/traits/morphology/carboxysome.yaml
permits passage of	1	unmapped		data/traits/morphology/carboxysome.yaml
elevates local concentration of	1	unmapped		data/traits/morphology/carboxysome.yaml
form	1	unmapped		data/traits/morphology/carboxysome.yaml
assembles at	1	unmapped		data/traits/morphology/cell_length.yaml
resets	1	unmapped		data/traits/morphology/cell_length.yaml
inhibits assembly of	1	unmapped		data/traits/morphology/cell_length_large.yaml
delays	1	unmapped		data/traits/morphology/cell_length_large.yaml
balances with PG synthesis to maintain	1	unmapped		data/traits/morphology/cell_length_medium.yaml
rate_limiting_for	1	unmapped		data/traits/morphology/cell_length_small.yaml
enhances fitness in	1	unmapped		data/traits/morphology/cell_length_very_small.yaml
balances	1	unmapped		data/traits/morphology/cell_width.yaml
orients	1	unmapped		data/traits/morphology/cell_width_large.yaml
modulates activity of	1	unmapped		data/traits/morphology/cell_width_medium.yaml
adapted to	1	unmapped		data/traits/morphology/cell_width_very_small.yaml
coordinates	1	unmapped		data/traits/morphology/coccus_shaped.yaml
decreases rate of	1	unmapped		data/traits/morphology/crescent_shaped.yaml
occurs via	1	unmapped		data/traits/morphology/curved_shaped.yaml
optimized for	1	unmapped		data/traits/morphology/curved_shaped.yaml
splits	1	unmapped		data/traits/morphology/diplococcus_shaped.yaml
interconverts with	1	unmapped		data/traits/morphology/disc_shaped.yaml
combined with	1	unmapped		data/traits/morphology/dumbbell_shaped.yaml
aggravates	1	unmapped		data/traits/morphology/dumbbell_shaped.yaml
preferentially required for	1	unmapped		data/traits/morphology/ellipsoidal.yaml
directs to cell pole	1	unmapped		data/traits/morphology/flagellar_arrangement.yaml
engages / recruits	1	unmapped		data/traits/morphology/flagellar_arrangement.yaml
occurs at	1	unmapped		data/traits/morphology/flagellar_arrangement.yaml
connects	1	unmapped		data/traits/morphology/flagellated.yaml
results in formation of	1	unmapped		data/traits/morphology/flagellated.yaml
strengthens	1	unmapped		data/traits/morphology/gas_vesicle.yaml
enables context for	1	unmapped		data/traits/morphology/gliding.yaml
transmit force for	1	unmapped		data/traits/morphology/gliding.yaml
fails to retain	1	unmapped		data/traits/morphology/gram_negative.yaml
occupies	1	unmapped		data/traits/morphology/gram_negative.yaml
inserts	1	unmapped		data/traits/morphology/gram_negative.yaml
safeguards	1	unmapped		data/traits/morphology/gram_negative.yaml
retains	1	unmapped		data/traits/morphology/gram_positive.yaml
fails to remove	1	unmapped		data/traits/morphology/gram_positive.yaml
neutralizes	1	unmapped		data/traits/morphology/gram_positive.yaml
reacts with	1	unmapped		data/traits/morphology/gram_stain.yaml
is retained by	1	unmapped		data/traits/morphology/gram_stain.yaml
modifies	1	unmapped		data/traits/morphology/green_pigmented.yaml
binds promoter of	1	unmapped		data/traits/morphology/heterocyst.yaml
reduces diffusion of	1	unmapped		data/traits/morphology/heterocyst.yaml
provides mechanical support to	1	unmapped		data/traits/morphology/heterocyst.yaml
increases accumulation of	1	unmapped		data/traits/morphology/intracellular_inclusion.yaml
assembles	1	unmapped		data/traits/morphology/intracellular_inclusion.yaml
localizes to and promotes assembly at	1	unmapped		data/traits/morphology/lophotrichous.yaml
captures	1	unmapped		data/traits/morphology/lophotrichous.yaml
sufficient for	1	unmapped		data/traits/morphology/magnetosome.yaml
promotes localization of	1	unmapped		data/traits/morphology/monotrichous.yaml
regulates number of	1	unmapped		data/traits/morphology/monotrichous.yaml
hinders interaction of	1	unmapped		data/traits/morphology/monotrichous.yaml
drives extension of	1	unmapped		data/traits/morphology/motility.yaml
drives retraction of	1	unmapped		data/traits/morphology/motility.yaml
decreases activation of	1	unmapped		data/traits/morphology/non_spore_forming.yaml
has material basis in	1	unmapped		data/traits/morphology/orange_pigmented.yaml
assembles as	1	unmapped		data/traits/morphology/ovoid_shaped.yaml
distinguished from	1	unmapped		data/traits/morphology/peritrichous.yaml
positively influences (saturating)	1	unmapped		data/traits/morphology/peritrichous.yaml
prevents accumulation of	1	unmapped		data/traits/morphology/pigmentation.yaml
feeds from	1	unmapped		data/traits/morphology/pink_pigmented.yaml
relaxes	1	unmapped		data/traits/morphology/pleomorphic_shaped.yaml
causes transition to	1	unmapped		data/traits/morphology/pleomorphic_shaped.yaml
drives proliferation of	1	unmapped		data/traits/morphology/pleomorphic_shaped.yaml
limits or kills	1	unmapped		data/traits/morphology/pleomorphic_shaped.yaml
produces	1	blocked_by_node_type	METPO:2007800	data/traits/morphology/polyhydroxyalkanoate_granule.yaml
composes	1	unmapped		data/traits/morphology/prosthecate.yaml
correlates with	1	unmapped		data/traits/morphology/ring_shaped.yaml
spatially regulates	1	unmapped		data/traits/morphology/ring_shaped.yaml
skews	1	unmapped		data/traits/morphology/ring_shaped.yaml
attaches Z ring to	1	unmapped		data/traits/morphology/sarcina_arrangement.yaml
cooperate in	1	unmapped		data/traits/morphology/sarcina_arrangement.yaml
degrade	1	unmapped		data/traits/morphology/sarcina_arrangement.yaml
degradation triggers	1	unmapped		data/traits/morphology/sarcina_arrangement.yaml
biases	1	unmapped		data/traits/morphology/spiral_shaped.yaml
distorts	1	unmapped		data/traits/morphology/spiral_shaped.yaml
distort and push	1	unmapped		data/traits/morphology/spirochete_shaped.yaml
mislocalizes	1	unmapped		data/traits/morphology/spirochete_shaped.yaml
anchors	1	unmapped		data/traits/morphology/spore_shaped.yaml
causes when lost	1	unmapped		data/traits/morphology/square_shaped.yaml
prevents aberrant placement of	1	unmapped		data/traits/morphology/staphylococcus_arrangement.yaml
antagonizes	1	unmapped		data/traits/morphology/staphylococcus_arrangement.yaml
promotes lateral interactions between	1	unmapped		data/traits/morphology/staphylococcus_arrangement.yaml
precedes	1	unmapped		data/traits/morphology/tetrad_arrangement.yaml
confers rigidity to	1	unmapped		data/traits/morphology/triangular_shaped.yaml
does not shape	1	unmapped		data/traits/morphology/triangular_shaped.yaml
enables surface exposure of	1	unmapped		data/traits/morphology/twitching_motility.yaml
patterns	1	unmapped		data/traits/morphology/vibrio_shaped.yaml
colocalizes with	1	unmapped		data/traits/morphology/vibrio_shaped.yaml
translated into	1	unmapped		data/traits/morphology/vibrio_shaped.yaml
catalyzes conversion to	1	unmapped		data/traits/morphology/yellow_pigmented.yaml
causes or contributes to	1	unmapped		data/traits/morphology/yellow_pigmented.yaml
decreases binding of	1	unmapped		data/traits/physiology/antibiotic_resistance.yaml
alternative inorganic carbon source for	1	unmapped		data/traits/physiology/autotrophic.yaml
determines speciation of	1	unmapped		data/traits/physiology/autotrophic.yaml
provides reductant for	1	unmapped		data/traits/physiology/autotrophic.yaml
enzyme class for	1	unmapped		data/traits/physiology/carboxydotrophic.yaml
activates production of	1	unmapped		data/traits/physiology/carboxydotrophic.yaml
decomposes	1	unmapped		data/traits/physiology/catalase_activity.yaml
favors scavenging by	1	unmapped		data/traits/physiology/catalase_activity.yaml
supports activation of	1	unmapped		data/traits/physiology/catalase_activity.yaml
imports and phosphorylates	1	unmapped		data/traits/physiology/chemoheterotrophic.yaml
supports generation of	1	unmapped		data/traits/physiology/chemolithoautotrophic.yaml
facilitates supply of	1	unmapped		data/traits/physiology/chemolithoautotrophic.yaml
increases availability of	1	unmapped		data/traits/physiology/chemolithoautotrophic.yaml
drives reverse electron transport for	1	unmapped		data/traits/physiology/chemolithoautotrophic.yaml
produces intermediate	1	unmapped		data/traits/physiology/chemolithoheterotrophic.yaml
mediates fixation of	1	unmapped		data/traits/physiology/chemolithotrophic.yaml
stimulates generation of	1	unmapped		data/traits/physiology/chemolithotrophic.yaml
primarily supplies	1	unmapped		data/traits/physiology/chemoorganoheterotrophic.yaml
produces reduced cofactor	1	unmapped		data/traits/physiology/chemoorganotrophic.yaml
demethylates	1	unmapped		data/traits/physiology/chemotaxis.yaml
can be built by	1	unmapped		data/traits/physiology/chemotrophic.yaml
couples electron transport to	1	unmapped		data/traits/physiology/chemotrophic.yaml
uses substrate pool	1	unmapped		data/traits/physiology/copiotrophic.yaml
characteristic of	1	unmapped		data/traits/physiology/copiotrophic.yaml
turns off	1	unmapped		data/traits/physiology/dormancy.yaml
causally enables	1	unmapped		data/traits/physiology/heterotrophic.yaml
proceeds via	1	unmapped		data/traits/physiology/heterotrophic.yaml
can support	1	unmapped		data/traits/physiology/hydrogenotrophic.yaml
oxidized in	1	unmapped		data/traits/physiology/lithoheterotrophic.yaml
serves as terminal acceptor for	1	unmapped		data/traits/physiology/lithotrophic.yaml
uses oxidant	1	unmapped		data/traits/physiology/methanotrophic.yaml
can use energy capture route	1	unmapped		data/traits/physiology/mixotrophic.yaml
fixes	1	unmapped		data/traits/physiology/mixotrophic.yaml
mediates transfer to	1	unmapped		data/traits/physiology/natural_competence.yaml
metabolized by	1	unmapped		data/traits/physiology/organoheterotrophic.yaml
oxidizes carbon to	1	unmapped		data/traits/physiology/organoheterotrophic.yaml
characterized by	1	unmapped		data/traits/physiology/persister_cell_formation.yaml
diffuses into	1	unmapped		data/traits/physiology/photoautotrophic.yaml
cannot generate	1	unmapped		data/traits/physiology/photoheterotrophic.yaml
perform	1	unmapped		data/traits/physiology/photoheterotrophic.yaml
relies primarily on	1	unmapped		data/traits/physiology/photoheterotrophic.yaml
interconverts	1	unmapped		data/traits/physiology/photolithoautotrophic.yaml
fixed during	1	unmapped		data/traits/physiology/photolithotrophic.yaml
provides energy to	1	unmapped		data/traits/physiology/photolithotrophic.yaml
acts as electron donor for	1	unmapped		data/traits/physiology/photolithotrophic.yaml
transfers excitation energy to	1	unmapped		data/traits/physiology/phototrophic.yaml
extends light absorption into	1	unmapped		data/traits/physiology/phototrophic.yaml
pumps	1	unmapped		data/traits/physiology/phototrophic.yaml
synthesizes/hydrolyzes	1	unmapped		data/traits/physiology/stress_response.yaml
is substrate of	1	unmapped		data/traits/physiology/urease_activity.yaml
causally upstream of or within	1	unmapped		data/traits/upper/biological_process.yaml
can bear	1	unmapped		data/traits/upper/material_entity.yaml
can be about	1	unmapped		data/traits/upper/material_entity.yaml
records	1	unmapped		data/traits/upper/observation.yaml
is about	1	unmapped		data/traits/upper/observation.yaml
has context	1	unmapped		data/traits/upper/observation.yaml
recorded in	1	unmapped		data/traits/upper/observation.yaml
requires metadata	1	unmapped		data/traits/upper/observation.yaml
